,Names,Phones,Website,Street,City,State,Zip,Clg_type,Award,Campus_setting,Campus_housing,Student_population,Student_to_faculty_ratio
109,Altierus Career College-Bissonnet,(713) 772-4200,www.altierus.edu/,9700 Bissonnet St-Ste 1400, Houston,Texas,77036-8001,"2-year, Private not-for-profit",One but less than two years certificate<br/>Associate's degree,City: Large,No,628 (all undergraduate),37 to 1
110,Altierus Career College-Norcross,(770) 921-1085,www.altierus.edu/,1750 Beaver Ruin Rd-Ste 500, Norcross,Georgia,30093-2813,"2-year, Private not-for-profit",One but less than two years certificate<br/>Associate's degree,Suburb: Large,No,684 (all undergraduate),29 to 1
111,Altierus Career College-Tampa,(813) 879-6000,www.altierus.edu/,3319 W Hillsborough Ave, Tampa,Florida,33614-5801,"2-year, Private not-for-profit",One but less than two years certificate<br/>Associate's degree,City: Large,No,397 (all undergraduate),21 to 1
112,Altoona Beauty School Inc,(814) 942-3141,www.altoonabeautyschool.com/,1528 Valley View Blvd., Altoona,Pennsylvania,16602-6039,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,50 (all undergraduate),10 to 1
113,Altura College,(509) 334-3444,www.alturacollege.com/,1256 Southeast Bishop Boulevard, Suite L,Washington,99163-5842,"2-year, Private for-profit",Less than one year certificate,Town: Distant,No,3 (all undergraduate),3 to 1
114,Alvin Community College,(281) 756-3500,www.alvincollege.edu/,3110 Mustang Rd, Alvin,Texas,77511-4898,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Two but less than 4 years certificate,Suburb: Large,No,"5,737 (all undergraduate)",12 to 1
115,Amarillo College,(806) 371-5000,www.actx.edu/,2011 S. Washington, Amarillo,Texas,79109,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,City: Midsize,No,"9,079 (all undergraduate)",19 to 1
116,Ambria College of Nursing,(847) 397-0300 x2271,ambria.edu/,5210 Trillium Blvd, Hoffman Estates,Illinois,60192,"4-year, primarily associate's, Private for-profit",One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree,City: Small,No,229 (all undergraduate),8 to 1
117,American Academy of Cosmetology,(904) 213-1444,www.aacschool.com/,1330 Blanding Blvd Ste 125, Orange Park,Florida,32065,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,134 (all undergraduate),13 to 1
118,American Academy of Dramatic Arts-Los Angeles,(323) 464-2777 x109,www.aada.edu/,1336 North La Brea Avenue, Los Angeles,California,90028,"2-year, Private not-for-profit",One but less than two years certificate<br/>Associate's degree,City: Large,Yes,106 (all undergraduate),8 to 1
119,American Academy of Dramatic Arts-New York,(212) 686-9244,www.aada.edu/,120 Madison Ave, New York,New York,10016,"2-year, Private not-for-profit",One but less than two years certificate<br/>Associate's degree,City: Large,Yes,159 (all undergraduate),8 to 1
120,American Academy of Health and Beauty,(603) 625-6100,myaahb.com/,981 Second Street, Manchester,New Hampshire,03102-5263,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Midsize,No,34 (all undergraduate),6 to 1
121,American Advanced Technicians Institute,(305) 362-5519,www.aati.edu/,6801 W 20th St, Hialeah,Florida,33014,"2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,30 (all undergraduate),10 to 1
122,American Barber and Beauty Academy,(610) 927-5664,americanbarberacademy.com/,733 Lancaster Avenue, Reading,Pennsylvania,19607-1602,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,80 (all undergraduate),27 to 1
123,American Beauty Academy,(801) 465-1650,www.americanbeauty.edu/,87 W 600 S, Payson,Utah,84651,"2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,35 (all undergraduate),3 to 1
124,American Beauty Academy-West Valley Campus,(801) 281-6708,americanbeautyutah.com/,3695 S Redwood Rd, West Valley City,Utah,84119,"2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,37 (all undergraduate),3 to 1
125,American Beauty College,(626) 472-7402,www.americanbeautycollege.edu/,652 S. Sunset Ave, West Covina,California,91790,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,114 (all undergraduate),25 to 1
126,American Beauty School,(718) 931-7400,www.americanbeautyschool.edu/,1380 Metropolitan Avenue, Bronx,New York,10462,"2-year, Private for-profit",One but less than two years certificate,City: Large,No,158 (all undergraduate),20 to 1
127,American Beauty Schools,(786) 558-9608,www.americanbeautyschools.com/,8100 Southwest 8th Street, Miami,Florida,33144-0000,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,37 (all undergraduate),16 to 1
128,American Business and Technology University,(816) 279-7000,abtu.edu/,"<span class=""disted"">All programs offered completely via Distance education</span><br/>1018 W St Maartens Dr", St Joseph,Missouri,64506,"4-year, primarily associate's, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Master's degree,City: Small,No,353 (342 undergraduate),14 to 1
129,American Career College-Anaheim,(949) 783-4800,americancareercollege.edu/,1200 N. Magnolia Ave., Anaheim,California,92801-0000,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,City: Large,No,"1,274 (all undergraduate)",39 to 1
130,American Career College-Los Angeles,(949) 783-4800,americancareercollege.edu/,4021 Rosewood Avenue, Los Angeles,California,90004,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,City: Large,No,"1,751 (all undergraduate)",45 to 1
131,American Career College-Ontario,(949) 783-4800,americancareercollege.edu/,3130 East Sedona Court, Ontario,California,91764,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,City: Midsize,No,"1,435 (all undergraduate)",46 to 1
132,American College of Barbering,(502) 968-4858,www.americancollegeofbarbering.com/,11320 North Preston Highway, Louisville,Kentucky,40229-2862,"2-year, Private for-profit",One but less than two years certificate,City: Large,No,78 (all undergraduate),20 to 1
133,American College of Financial Services,(610) 526-1000,www.theamericancollege.edu/,630 Allendale Rd, King of Prussia,Pennsylvania,19406,"4-year, Private not-for-profit",Less than one year certificate<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Doctor's degree - research/scholarship,Suburb: Large,No,"5,723 (5,233 undergraduate)",60 to 1
134,American College of Hair Design Inc,(660) 827-3295 x2,www.americancollegeofhairdesign.com/,125 Winchester Drive, Sedalia,Missouri,65301,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Town: Remote,No,27 (all undergraduate),7 to 1
135,American College of Healthcare and Technology,(951) 729-5320,www.ach.edu/,11801 Pierce St., Suite 100,California,92505,"2-year, Private for-profit",One but less than two years certificate<br/>Two but less than 4 years certificate,City: Large,No,351 (all undergraduate),31 to 1
136,American College of Healthcare and Technology,(323) 585-9000,www.ach.edu/,6330 Pacific Blvd Ste 201, Huntington Park,California,90255,"2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,184 (all undergraduate),31 to 1
137,American College of Healthcare Sciences,(503) 244-0726 x103,www.achs.edu/,"<span class=""disted"">All programs offered completely via Distance education</span><br/>5005 S. Macadam Ave", Portland,Oregon,97239,"4-year, primarily associate's, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree,City: Large,No,856 (602 undergraduate),19 to 1
138,American Conservatory Theater,(415) 834-3200 x2400,www.act-sf.org/,415 Geary Street, San Francisco,California,94102,"4-year, Private not-for-profit",Less than one year certificate<br/>Two but less than 4 years certificate<br/>Master's degree,City: Large,No,30 (7 undergraduate),6 to 1
139,American Educational College,(787) 798-1199 x251,www.amedcopr.com/,45 Santa Cruz Street, Bayamon,Puerto Rico,00961,"2-year, Private for-profit",One but less than two years certificate<br/>Two but less than 4 years certificate,City: Midsize,No,288 (all undergraduate),15 to 1
140,American Fitness and Nutrition Academy,(626) 782-6200,afna.edu/,350 South Lake Avenue, Pasadena,California,91101-3530,"2-year, Private for-profit",Less than one year certificate,City: Midsize,No,12 (all undergraduate),6 to 1
141,American Hair Academy,(319) 219-6248,americanhairacademy.com/,304 South Iris, Mt. Pleasant,Iowa,52641,"2-year, Private for-profit",Two but less than 4 years certificate,Town: Remote,No,20 (all undergraduate),10 to 1
142,American Indian OIC Inc,(612) 341-3358 x100,www.aioic.org/,1845 E. Franklin Ave, Minneapolis,Minnesota,55404-2221,"2-year, Private not-for-profit",One but less than two years certificate,City: Large,No,4 (all undergraduate),3 to 1
143,American Institute of Alternative Medicine,(614) 825-6255,www.aiam.edu/,6685 Doubletree Ave, Columbus,Ohio,43229,"4-year, primarily associate's, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Master's degree,City: Large,No,341 (321 undergraduate),19 to 1
144,American Institute of Alternative Medicine,(732) 651-6060,massageschoolnewjersey.com/,223 Rt. 18, Suite 205,New Jersey,08816,"2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,30 (all undergraduate),5 to 1
145,American Institute of Beauty,(727) 532-2125,www.aibschool.edu/,3665 East Bay Drive Suite 164, Largo,Florida,33771,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,160 (all undergraduate),7 to 1
146,American Institute of Healthcare & Technology,(203) 870-8400,www.aiht.edu/,480 Lordship Boulevard, Stratford,Connecticut,06615-7149,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Two but less than 4 years certificate,Suburb: Large,No,106 (all undergraduate),10 to 1
147,American Institute of Interior Design,(480) 946-9601,www.aiid.edu/,13014 N. Saguaro Blvd., Suite 206,Arizona,85268,"2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,35 (all undergraduate),15 to 1
148,American Institute of Massage Therapy,(714) 432-7879,www.aimtinc.com/,1516 Brookhollow Drive, Unit C,California,92705-5401,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,39 (all undergraduate),10 to 1
149,American Institute of Medical Sciences & Education,(908) 222-0002,www.aimseducation.edu/,4500 New Brunswick Ave, Piscataway,New Jersey,08854,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Two but less than 4 years certificate,Suburb: Large,No,476 (all undergraduate),15 to 1
150,American Institute-Clifton,(973) 340-9500,www.americaninstitute.com/,346 LEXINGTON AVE, CLIFTON,New Jersey,07011,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Two but less than 4 years certificate,Suburb: Large,No,716 (all undergraduate),21 to 1
151,American Institute-Somerset,(732) 201-8335,www.americaninstitute.com/,80 Cottontail Lane, Somerset,New Jersey,08873-1100,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,390 (all undergraduate),19 to 1
152,American Institute-Toms River,(732) 719-2730,www.americaninstitute.com/,2363 Lakewood Rd, Toms River,New Jersey,08755,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Two but less than 4 years certificate,Suburb: Large,No,324 (all undergraduate),21 to 1
153,American Institute-West Hartford,(860) 947-2299,americaninstitute.com/,99 South Street, West Hartford,Connecticut,06110-1922,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Two but less than 4 years certificate,Suburb: Large,No,383 (all undergraduate),17 to 1
154,American InterContinental University,(877) 701-3800,www.aiuniv.edu/,"<span class=""disted"">All programs offered completely via Distance education</span><br/>2200 E Germann Rd", Chandler,Arizona,85286,"4-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Doctor's degree - research/scholarship,Rural: Fringe,No,"15,415 (12,830 undergraduate)",43 to 1
155,American InterContinental University-Atlanta,(404) 965-6500 x8118,www.aiuniv.edu/online-campus/campus-locations/atlanta,6600 Peachtree Dunwoody Road, 500 Embassy Row,Georgia,30328,"4-year, Private for-profit",Less than one year certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Master's degree,City: Midsize,No,"1,465 (1,312 undergraduate)",13 to 1
156,American InterContinental University-Houston,(832) 201-3600,www.aiuniv.edu/online-campus/campus-locations/houston,9999 Richmond Avenue, Houston,Texas,77042,"4-year, Private for-profit",Less than one year certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Master's degree,City: Large,No,221 (190 undergraduate),13 to 1
157,American Massage & Bodywork Institute,(571) 620-7170,www.ambimassageschool.com/,1593 Spring Hill Road, Suite 210,Virginia,22182-2245,"2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,99 (all undergraduate),10 to 1
158,American Medical Academy,(305) 271-6555,www.ama.edu/,12215 SW 112 Street, Miami,Florida,33186-4830,"4-year, primarily associate's, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree,Suburb: Large,No,527 (all undergraduate),6 to 1
159,American Medical Institute Inc.,(713) 772-5300,amiinc.net/online-cna.html,6902 Cook Rd, Houston,Texas,77099,"2-year, Private not-for-profit",Less than one year certificate,City: Large,No,25 (all undergraduate),2 to 1
160,American Medical Sciences Center,(818) 240-6900 x100,www.amsc.edu/,225 West Broadway, Suite 410,California,91204-5108,"4-year, primarily associate's, Private for-profit",One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree,City: Midsize,No,52 (all undergraduate),10 to 1
161,American Musical and Dramatic Academy,(212) 787-5300 x3331,www.amda.edu/,211 West 61st Street, New York,New York,10023,"4-year, primarily associate's, Private not-for-profit",Associate's degree<br/>Two but less than 4 years certificate<br/>Bachelor's degree<br/>Master's degree,City: Large,Yes,"1,399 (1,395 undergraduate)",5 to 1
162,American National University,(540) 986-1800,www.an.edu/locations/,1813 East Main Street, Salem,Virginia,24153,"4-year, primarily associate's, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Master's degree,Suburb: Midsize,No,931 (810 undergraduate),39 to 1
163,American National University-Pikeville,(859) 253-0621,www.an.edu/locations/,50 National College Boulevard, Pikeville,Kentucky,41501-1520,"4-year, primarily associate's, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree,Rural: Fringe,No,210 (all undergraduate),19 to 1
164,American Public University System,(877) 468-6268,www.apus.edu/,"<span class=""disted"">All programs offered completely via Distance education</span><br/>111 W Congress St", Charles Town,West Virginia,25414,"4-year, Private for-profit",Less than one year certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Doctor's degree - research/scholarship,Town: Fringe,No,"50,047 (40,362 undergraduate)",23 to 1
165,American River College,(916) 484-8011,www.arc.losrios.edu/,4700 College Oak Dr, Sacramento,California,95841-4286,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Two but less than 4 years certificate,Suburb: Large,No,"25,422 (all undergraduate)",25 to 1
166,American Samoa Community College,(684) 699-9155 x370,www.amsamoa.edu/,P.O. Box 2609, Pago Pago,American Samoa,96799-2609,"4-year, primarily associate's, Public",One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree,Town: Remote,No,"1,081 (all undergraduate)",14 to 1
167,American Technical Institute,(787) 799-5060,www.amtec.edu/,Ave Castiglioni U-27, Bayamon Gardens,Puerto Rico,00957-0000,"2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,11 (all undergraduate),6 to 1
168,American Trade School,(314) 423-1900,www.americantradeschool.edu/,3925 Industrial Drive, Saint Ann,Missouri,63074-1807,"2-year, Private for-profit",One but less than two years certificate<br/>Associate's degree,Suburb: Large,No,128 (all undergraduate),9 to 1
169,American University,(202) 885-1000,www.american.edu/,4400 Massachusetts Ave NW, Washington,District of Columbia,20016-8001,"4-year, Private not-for-profit",Less than one year certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Doctor's degree - research/scholarship<br/>Doctor's degree - professional practice,City: Large,Yes,"14,001 (7,953 undergraduate)",11 to 1
170,American University of Health Sciences,(562) 988-2278 x2001,www.auhs.edu/,1600 East Hill St, Signal Hill,California,90755-3612,"4-year, Private for-profit",One but less than two years certificate<br/>Bachelor's degree<br/>Master's degree<br/>Doctor's degree - professional practice,Suburb: Large,No,408 (323 undergraduate),16 to 1
171,American University of Puerto Rico,(787) 621-2835 x3601,aupr.edu/,Carretera Estatal #2 Km.48.1, Manati,Puerto Rico,00674-1082,"4-year, Private not-for-profit",Less than one year certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree,Suburb: Large,No,360 (349 undergraduate),15 to 1
172,American University of Puerto Rico,(787) 620-2040 x1040,aupr.edu/,Carr. #2, Km.14.4,Puerto Rico,00960-2037,"4-year, Private not-for-profit",Less than one year certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree,City: Midsize,No,294 (281 undergraduate),17 to 1
173,AMG School of Licensed Practical Nursing,(973) 508-9313,amg.edu/,147 Prince Street, Brooklyn,New York,11201-1728,"2-year, Private for-profit",One but less than two years certificate,City: Large,No,258 (all undergraduate),30 to 1
174,Andrew College,(229) 732-2171,www.andrewcollege.edu/,501College St, Cuthbert,Georgia,39840-5550,"4-year, primarily associate's, Private not-for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree,Town: Distant,Yes,301 (all undergraduate),8 to 1
175,Andrews University,(800) 253-2874,www.andrews.edu/,4150 Administration Drive, Room 136,Michigan,49104,"4-year, Private not-for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Post-master's certificate<br/>Doctor's degree - research/scholarship<br/>Doctor's degree - other,Town: Fringe,Yes,"3,162 (1,579 undergraduate)",10 to 1
176,Angeles College,(213) 487-2211,www.angelescollege.edu/,3440 Wilshire Blvd Ste 310, Los Angeles,California,90010,"4-year, primarily associate's, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Two but less than 4 years certificate<br/>Bachelor's degree<br/>Master's degree,City: Large,No,303 (298 undergraduate),25 to 1
177,Angeles Institute,(562) 531-4100,www.angelesinstitute.edu/,17100 PIONEER BLVD, SUITE 170,California,90701-2713,"2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,98 (all undergraduate),10 to 1
178,Angelina College,(936) 639-1301,www.angelina.edu/,3500 South First, Lufkin,Texas,75902-1768,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Town: Remote,Yes,"4,195 (all undergraduate)",14 to 1
179,Angelo State University,(325) 942-2555,www.angelo.edu/,2601 W. Avenue N, San Angelo,Texas,76909,"4-year, Public",Less than one year certificate<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Post-master's certificate<br/>Doctor's degree - professional practice,City: Midsize,Yes,"10,775 (9,107 undergraduate)",21 to 1
180,Ann Webb Skin Institute,(512) 614-4012,awskininstitute.com/,11701 Jollyville Road, Austin,Texas,78759-3936,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,146 (all undergraduate),25 to 1
181,Anne Arundel Community College,(410) 777-2222,www.aacc.edu/,101 College Pky, Arnold,Maryland,21012-1895,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Suburb: Large,No,"11,948 (all undergraduate)",17 to 1
182,Annenberg School of Nursing,(818) 757-4431,www.asn.edu/,19300 Sherman Way, Reseda,California,91335-5426,"2-year, Private not-for-profit",One but less than two years certificate,City: Large,No,24 (all undergraduate),12 to 1
183,Anoka Technical College,(763) 433-1100,www.anokatech.edu/,1355 Highway 10 West, Anoka,Minnesota,55303,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Two but less than 4 years certificate,Suburb: Large,No,"1,683 (all undergraduate)",15 to 1
184,Anoka-Ramsey Community College,(763) 433-1100,www.anokaramsey.edu/,11200 Mississippi Blvd NW, Coon Rapids,Minnesota,55433-3470,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Two but less than 4 years certificate,Suburb: Large,No,"8,482 (all undergraduate)",27 to 1
185,Another Level Barbering and Cosmetology School,(804) 733-3337,www.albcschool.edu/,102 North Sycamore Street, Petersburg,Virginia,23803-3245,"2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,7 (all undergraduate),2 to 1
186,Anousheh School of Hair,(607) 238-7736,www.anoushehschoolofhair.com/,1152 Vestal Avenue, Binghamton,New York,13903-1559,"2-year, Private for-profit",One but less than two years certificate,City: Small,No,15 (all undergraduate),8 to 1
187,Anson College of Cosmetology,(704) 694-6677,ansoncollegeofcosmetology.com/,1217 East Caswell Street, Wadesboro,North Carolina,28170-2147,"2-year, Private for-profit",One but less than two years certificate,Town: Distant,No,3 (all undergraduate),2 to 1
188,Antelope Valley College,(661) 722-6300,www.avc.edu/,3041 West  Ave K, Lancaster,California,93536-5426,"4-year, primarily associate's, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree,Suburb: Large,No,"12,057 (all undergraduate)",24 to 1
189,Antilles School of Technical Careers,(787) 268-2244,antillespr.edu/,Calle Cayey # 1911, San Juan,Puerto Rico,00909,"2-year, Private for-profit",One but less than two years certificate<br/>Two but less than 4 years certificate,City: Large,No,432 (all undergraduate),33 to 1
190,Antioch College AG,(757) 826-1883 x236,antiochcollegeag.edu/,1705 Todds Ln, Hampton,Virginia,23666,"4-year, Private not-for-profit",One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree,City: Midsize,No,35 (all undergraduate),5 to 1
191,Antioch University-Seattle,(206) 441-5352,www.antiochseattle.edu/,2326 6th Ave, Seattle,Washington,98121-1814,"4-year, Private not-for-profit",Less than one year certificate<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Doctor's degree - professional practice,City: Large,No,735 (99 undergraduate),3 to 1
192,Aparicio-Levy Technical College,(813) 740-4884,www.aparicio-levy.edu/,10119 East Ellicott Street, Tampa,Florida,33610,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,417 (all undergraduate),17 to 1
193,Apex Academy Hair Skin Nails School of Cosmetology,(419) 709-8512,www.apexacademy2013.com/,1788 West Fourth Street, Ontario,Ohio,44906-1793,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Small,No,35 (all undergraduate),6 to 1
194,Apex Technical School,(212) 645-3300,www.apexschool.com/,24-02 Queens Plaza South, Long Island City,New York,11101,"2-year, Private for-profit",One but less than two years certificate,City: Large,No,"1,140 (all undergraduate)",18 to 1
195,Apollo Career Center,(419) 998-3000,www.apollocareercenter.com/adult-education/,3325 Shawnee Rd, Lima,Ohio,45806-1497,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate,Suburb: Small,No,551 (all undergraduate),5 to 1
196,Appalachian Beauty School,(606) 519-3610,appalachianbeautyschool.com/,25429 US HWY 119N, Belfry,Kentucky,41514,"2-year, Private for-profit",One but less than two years certificate,Rural: Fringe,No,54 (all undergraduate),20 to 1
197,Appalachian Bible College,(304) 877-6428,abc.edu/,161 College Drive, Mount Hope,West Virginia,25880-9557,"4-year, Private not-for-profit",One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Master's degree,Rural: Fringe,Yes,225 (221 undergraduate),7 to 1
198,Applied Technology Services,(314) 989-7500,www.appliedtech-stl.com/,12721 West Watson Road, Sunset Hills,Missouri,63127,"2-year, Public",One but less than two years certificate,Suburb: Large,No,126 (all undergraduate),13 to 1
199,Arapahoe Community College,(303) 797-4222,www.arapahoe.edu/,5900 S. Santa Fe Dr., Littleton,Colorado,80160-9002,"4-year, primarily associate's, Public",One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree,Suburb: Large,No,"12,001 (all undergraduate)",23 to 1
200,Arclabs,(864) 236-9995,www.arclabs.edu/,2615 Highway 153, B-3,South Carolina,29673-6729,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,552 (all undergraduate),20 to 1
201,Arizona Academy of Beauty-East,(520) 885-4120,www.arizonaacademy.com/,5631 E Speedway Blvd, Tucson,Arizona,85712,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,52 (all undergraduate),20 to 1
202,Arizona Christian University,(602) 489-5300,arizonachristian.edu/,1 W. Firestorm Way, Glendale,Arizona,85306-3216,"4-year, Private not-for-profit",One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree,Suburb: Large,Yes,925 (all undergraduate),12 to 1
203,Arizona College-Glendale,(855) 706-8382,www.arizonacollege.edu/,4425 W Olive Avenue, Suite 300,Arizona,85302-3851,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Suburb: Large,No,524 (all undergraduate),20 to 1
204,Arizona College-Mesa,(855) 706-8382,www.arizonacollege.edu/,163 N Dobson Rd, Mesa,Arizona,85201,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,City: Large,No,355 (all undergraduate),20 to 1
205,Arizona Culinary Institute,(480) 603-1066,www.azculinary.edu/,10585 N 114th St Ste 401, Scottsdale,Arizona,85259,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,125 (all undergraduate),8 to 1
206,Arizona School of Integrative Studies,(602) 833-6500,asismassage.edu/,639 N 6th ave, Tucson,Arizona,85705,"2-year, Private for-profit",Less than one year certificate,City: Large,No,240 (all undergraduate),10 to 1
207,Arizona State University Campus Immersion,(855) 278-5080,www.asu.edu/,University Drive and Mill Avenue, Tempe,Arizona,85287,"4-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Post-master's certificate<br/>Doctor's degree - research/scholarship<br/>Doctor's degree - professional practice,City: Midsize,Yes,"74,795 (63,124 undergraduate)",18 to 1
208,Arizona State University Digital Immersion,(855) 278-5080,www.asu.edu/,"<span class=""disted"">All programs offered completely via Distance education</span><br/>1475 N Scottsdale Rd", Scottsdale,Arizona,85257,"4-year, Public",Less than one year certificate<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Doctor's degree - research/scholarship,City: Large,No,"53,993 (40,485 undergraduate)",26 to 1
209,Arizona Western College,(928) 317-6000,www.azwestern.edu/,2020 S. Avenue 8E, Yuma,Arizona,85365-8834,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,City: Small,Yes,"6,487 (all undergraduate)",17 to 1
210,Arkansas Beauty College,(479) 968-3075,www.arkansasbeautycollege.us/,109 N Commerce St, Russellville,Arkansas,72801,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Town: Remote,No,38 (all undergraduate),7 to 1
211,Arkansas Beauty School-Little Rock,(501) 562-5673,arkbeautyschool.com/,8521 Geyer Springs Road Unit 30, Little Rock,Arkansas,72209,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Midsize,No,15 (all undergraduate),20 to 1
212,Arkansas College of Barbering and Hair Design,(501) 891-6283,www.acbhd.edu/,200 E Washington Ave, North Little Rock,Arkansas,72114,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,84 (all undergraduate),20 to 1
213,Arkansas Northeastern College,(870) 762-1020 x1114,www.anc.edu/,2501 S Division, Blytheville,Arkansas,72316-1109,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Rural: Fringe,No,"1,358 (all undergraduate)",17 to 1
